id,título,autor,género,año_publicación,calificación_promedio,num_calificaciones,1_estrella,2_estrellas,3_estrellas,4_estrellas,5_estrellas,copias,imagen,imagen_2
564,It's Kind of a Funny Story,Ned Vizzini,Ficción,2006,4.14,161001,2018,6246,28680,58548,70221,32,https://images.gr-assets.com/books/1420629730m/248704.jpg,https://images.gr-assets.com/books/1420629730s/248704.jpg
569,The Angel Experiment,James Patterson,No Ficción,2005,4.08,172302,4747,9858,32564,54067,81799,96,https://images.gr-assets.com/books/1339277875m/13152.jpg,https://images.gr-assets.com/books/1339277875s/13152.jpg
577,Tuck Everlasting,Natalie Babbitt,Fantasía,1975,3.85,174280,3823,12462,46988,64213,56570,127,https://images.gr-assets.com/books/1445184695m/84981.jpg,https://images.gr-assets.com/books/1445184695s/84981.jpg
583,Silence ,Becca Fitzpatrick,Ciencia Ficción,2011,4.16,190722,4217,9307,32161,55811,95842,65,https://images.gr-assets.com/books/1362408152m/10637766.jpg,https://images.gr-assets.com/books/1362408152s/10637766.jpg
586,A Great and Terrible Beauty,Libba Bray,Ficción,2003,3.79,173613,6620,16645,44166,56502,58174,65,https://images.gr-assets.com/books/1284558475m/3682.jpg,https://images.gr-assets.com/books/1284558475s/3682.jpg
591,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",No Ficción,2007,4.11,160607,3502,7316,26704,62780,71190,67,https://images.gr-assets.com/books/1327908992m/693208.jpg,https://images.gr-assets.com/books/1327908992s/693208.jpg
593,A Wizard of Earthsea,Ursula K. Le Guin,Fantasía,1968,3.99,155042,3253,9210,34737,58618,61240,157,https://images.gr-assets.com/books/1353424536m/13642.jpg,https://images.gr-assets.com/books/1353424536s/13642.jpg
595,A Separate Peace,John Knowles,Ciencia Ficción,1959,3.56,155901,8518,18503,45480,53424,36478,82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
600,Torment,Lauren Kate,Ficción,2010,3.89,174393,5367,14327,41971,52983,66736,82,https://images.gr-assets.com/books/1362339749m/7740152.jpg,https://images.gr-assets.com/books/1362339749s/7740152.jpg
602,The Silver Chair,"C.S. Lewis, Pauline Baynes",No Ficción,1953,3.95,170453,1580,9479,47180,65697,61412,257,https://images.gr-assets.com/books/1336139237m/65641.jpg,https://images.gr-assets.com/books/1336139237s/65641.jpg
607,City of Heavenly Fire,Cassandra Clare,Fantasía,2014,4.48,177796,1683,4287,18763,49304,129288,7,https://images.gr-assets.com/books/1460477794m/8755785.jpg,https://images.gr-assets.com/books/1460477794s/8755785.jpg
615,This Lullaby,Sarah Dessen,Ciencia Ficción,2002,4.03,151829,2714,8175,32346,49750,62122,42,https://images.gr-assets.com/books/1397779294m/22205.jpg,https://images.gr-assets.com/books/1397779294s/22205.jpg
621,"Are You There God? It's Me, Margaret",Judy Blume,Ficción,1970,3.89,151789,3588,10014,40314,55092,53075,75,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
632,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,No Ficción,2011,4.01,176433,7715,12475,34344,61578,84188,77,https://images.gr-assets.com/books/1310649047m/10429045.jpg,https://images.gr-assets.com/books/1310649047s/10429045.jpg
641,The Last Battle,C.S. Lewis,Ciencia Ficción,1956,4.02,158701,3501,10243,35440,54778,70679,245,https://images.gr-assets.com/books/1308814830m/84369.jpg,https://images.gr-assets.com/books/1308814830s/84369.jpg
643,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",Ficción,2008,3.9,180961,5974,14466,42946,53682,71482,77,https://images.gr-assets.com/books/1393192825m/1326258.jpg,https://images.gr-assets.com/books/1393192825s/1326258.jpg
645,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,No Ficción,2007,3.84,150003,4103,12836,39399,48089,52661,74,https://images.gr-assets.com/books/1334260193m/544891.jpg,https://images.gr-assets.com/books/1334260193s/544891.jpg
648,Inheritance,Christopher Paolini,Fantasía,2011,4.08,146905,3498,9379,28585,50380,70875,119,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
655,Crossed,Ally Condie,Ciencia Ficción,2011,3.52,100886,6581,22713,57856,55935,36499,63,https://images.gr-assets.com/books/1374335939m/15812814.jpg,https://images.gr-assets.com/books/1374335939s/15812814.jpg
656,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,Ficción,2006,3.82,150222,6407,13220,37418,45880,54960,58,https://images.gr-assets.com/books/1334491180m/852470.jpg,https://images.gr-assets.com/books/1334491180s/852470.jpg
667,Along for the Ride,Sarah Dessen,No Ficción,2009,4.08,151721,2588,7073,30314,52171,64184,41,https://images.gr-assets.com/books/1479692098m/5664985.jpg,https://images.gr-assets.com/books/1479692098s/5664985.jpg
684,The House of Hades,Rick Riordan,Fantasía,2013,4.54,159774,698,1916,12999,45501,114293,63,https://images.gr-assets.com/books/1464201430m/12127810.jpg,https://images.gr-assets.com/books/1464201430s/12127810.jpg
685,Gone,Michael  Grant,Ciencia Ficción,2008,3.85,144606,6428,12529,32771,47507,54718,61,https://images.gr-assets.com/books/1357796831m/2536134.jpg,https://images.gr-assets.com/books/1357796831s/2536134.jpg
707,Walk Two Moons,Sharon Creech,Ficción,1994,3.95,129350,3251,8401,29328,43060,48930,65,https://images.gr-assets.com/books/1389035862m/53496.jpg,https://images.gr-assets.com/books/1389035862s/53496.jpg
711,Unwind,Neal Shusterman,No Ficción,2007,4.18,143892,3032,5976,22062,50286,71287,62,https://images.gr-assets.com/books/1297677706m/764347.jpg,https://images.gr-assets.com/books/1297677706s/764347.jpg
732,The Short Second Life of Bree Tanner,Stephenie Meyer,Ciencia Ficción,2009,3.51,145874,7314,21317,50829,43629,36680,93,https://images.gr-assets.com/books/1274335680m/7937462.jpg,https://images.gr-assets.com/books/1274335680s/7937462.jpg
740,The Little House Collection,"Laura Ingalls Wilder, Garth Williams",Ficción,1953,4.33,124320,2304,3046,15651,36875,71004,14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
747,Sabriel,Garth Nix,No Ficción,1995,4.17,137047,2911,5797,22367,47814,67255,99,https://images.gr-assets.com/books/1293655399m/518848.jpg,https://images.gr-assets.com/books/1293655399s/518848.jpg
756,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,Fantasía,2010,3.92,158063,5814,11383,34292,50281,61348,58,https://images.gr-assets.com/books/1327877670m/6644117.jpg,https://images.gr-assets.com/books/1327877670s/6644117.jpg
759,Bloodlines,Richelle Mead,Ciencia Ficción,2011,4.22,140599,3103,4901,21147,45060,71923,37,https://images.gr-assets.com/books/1297199431m/8709527.jpg,https://images.gr-assets.com/books/1297199431s/8709527.jpg
774,Cress,Marissa Meyer,Ficción,2014,4.46,162069,866,2056,14772,56494,103278,51,https://images.gr-assets.com/books/1470057005m/13206828.jpg,https://images.gr-assets.com/books/1470057005s/13206828.jpg
781,Specials,Scott Westerfeld,No Ficción,2006,3.77,139168,3286,13140,41196,48574,42587,66,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
783,Hunted,"P.C. Cast, Kristin Cast",Fantasía,2009,3.93,138103,4169,10788,32719,41977,56398,63,https://images.gr-assets.com/books/1438042897m/4134071.jpg,https://images.gr-assets.com/books/1438042897s/4134071.jpg
793,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Ciencia Ficción,1967,4.15,134537,1943,5209,25045,49509,62402,83,https://images.gr-assets.com/books/1327784751m/3980.jpg,https://images.gr-assets.com/books/1327784751s/3980.jpg
805,Burned: A House of Night Novel,"P.C. Cast, Kristin Cast",Ficción,2010,3.98,120763,3628,8971,27361,35719,53814,61,https://images.gr-assets.com/books/1327944437m/6917952.jpg,https://images.gr-assets.com/books/1327944437s/6917952.jpg
808,The Invention of Hugo Cabret,Brian Selznick,No Ficción,2007,4.23,132159,1601,4222,20022,44895,64767,73,https://images.gr-assets.com/books/1422312376m/9673436.jpg,https://images.gr-assets.com/books/1422312376s/9673436.jpg
814,Tempted,"P.C. Cast, Kristin Cast",Fantasía,2008,3.96,127387,4010,9937,29521,38966,55476,62,https://images.gr-assets.com/books/1408633041m/6262365.jpg,https://images.gr-assets.com/books/1408633041s/6262365.jpg
817,Howl's Moving Castle,Diana Wynne Jones,Ciencia Ficción,1986,4.3,123945,1370,3764,18194,45058,71962,75,https://images.gr-assets.com/books/1407450489m/6294.jpg,https://images.gr-assets.com/books/1407450489s/6294.jpg
827,To All the Boys I've Loved Before,Jenny Han,Ficción,2014,4.11,136938,3388,6744,25033,51196,64950,60,https://images.gr-assets.com/books/1372086100m/15749186.jpg,https://images.gr-assets.com/books/1372086100s/15749186.jpg
830,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,No Ficción,2010,3.86,136736,5089,10817,33459,47351,49831,53,https://images.gr-assets.com/books/1271108843m/6931356.jpg,https://images.gr-assets.com/books/1271108843s/6931356.jpg
831,Lock and Key,Sarah Dessen,Fantasía,2008,4.01,120475,1910,6407,27658,43875,47799,38,https://images.gr-assets.com/books/1479691949m/1295102.jpg,https://images.gr-assets.com/books/1479691949s/1295102.jpg
834,Midnight Sun (Partial Draft),Stephenie Meyer,Ciencia Ficción,2008,4.03,138118,6209,9089,23237,35433,64149,1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
837,Every Day,David Levithan,Ficción,2012,3.99,121863,2994,7882,26109,47403,49572,66,https://images.gr-assets.com/books/1356993940m/13262783.jpg,https://images.gr-assets.com/books/1356993940s/13262783.jpg
849,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,No Ficción,1999,3.74,112733,4507,10953,31648,35061,36724,67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
853,Maniac Magee,Jerry Spinelli,Fantasía,1990,3.86,99831,2697,7804,25881,33058,35217,49,https://images.gr-assets.com/books/1395884800m/139463.jpg,https://images.gr-assets.com/books/1395884800s/139463.jpg
856,Gathering Blue,Lois Lowry,Ciencia Ficción,2000,3.8,114917,1516,8009,36770,49694,31821,73,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
857,The Westing Game,Ellen Raskin,Ficción,1978,4.03,117108,2682,6710,24165,41664,49122,38,https://images.gr-assets.com/books/1356850909m/902.jpg,https://images.gr-assets.com/books/1356850909s/902.jpg
875,Wicked Lovely ,Melissa Marr,No Ficción,2007,3.69,131034,5909,13879,36275,40331,39922,62,https://images.gr-assets.com/books/1327814035m/305234.jpg,https://images.gr-assets.com/books/1327814035s/305234.jpg
880,The Summoning,Kelley Armstrong,Fantasía,2008,4.03,132285,3330,7629,27219,42153,56501,52,https://images.gr-assets.com/books/1478986944m/2800905.jpg,https://images.gr-assets.com/books/1478986944s/2800905.jpg
884,Hollow City,Ransom Riggs,Ciencia Ficción,2014,4.07,73149,971,4618,25627,54274,47434,29,https://images.gr-assets.com/books/1429175859m/23164983.jpg,https://images.gr-assets.com/books/1429175859s/23164983.jpg
909,The Throne of Fire,Rick Riordan,Ficción,2011,4.2,116360,869,3653,20425,42668,55409,66,https://images.gr-assets.com/books/1366227973m/9067850.jpg,https://images.gr-assets.com/books/1366227973s/9067850.jpg
918,The Arctic Incident,Eoin Colfer,No Ficción,2002,3.94,108031,1594,5098,27655,44276,36244,121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
921,All the Bright Places,"Jennifer Niven, فرانک معنوی",Fantasía,2015,4.19,132087,2871,6238,21061,45697,70675,74,https://images.gr-assets.com/books/1404331702m/18460392.jpg,https://images.gr-assets.com/books/1404331702s/18460392.jpg
923,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,Ciencia Ficción,2007,3.84,58396,3737,8839,27510,38469,37309,85,https://images.gr-assets.com/books/1361310229m/17402605.jpg,https://images.gr-assets.com/books/1361310229s/17402605.jpg
927,"Crank (Crank, #1)",Ellen Hopkins,Ficción,2004,4.16,104168,2207,5055,16890,31143,50528,22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
928,The Raven Boys,Maggie Stiefvater,No Ficción,2012,4.05,121727,4299,7656,26761,57622,63358,64,https://images.gr-assets.com/books/1477103737m/17675462.jpg,https://images.gr-assets.com/books/1477103737s/17675462.jpg
933,Fire,Kristin Cashore,Fantasía,2009,4.12,98180,2390,6020,22684,45051,57317,70,https://images.gr-assets.com/books/1331535456m/6137154.jpg,https://images.gr-assets.com/books/1331535456s/6137154.jpg
937,His Dark Materials,Philip Pullman,Ciencia Ficción,2000,4.25,88227,1672,3744,13475,31455,51694,81,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
945,Passion,Lauren Kate,Ficción,2011,3.89,119735,3673,10214,28665,35799,46901,66,https://images.gr-assets.com/books/1362339802m/9369720.jpg,https://images.gr-assets.com/books/1362339802s/9369720.jpg
946,The Kill Order,James Dashner,No Ficción,2012,3.69,96568,4497,11820,28996,31984,32144,66,https://images.gr-assets.com/books/1330636153m/13089710.jpg,https://images.gr-assets.com/books/1330636153s/13089710.jpg
950,I'll Give You the Sun,Jandy Nelson,Fantasía,2014,4.14,140937,7025,7517,20793,40241,78008,71,https://images.gr-assets.com/books/1496659336m/20820994.jpg,https://images.gr-assets.com/books/1496659336s/20820994.jpg
957,Linger,Maggie Stiefvater,Ciencia Ficción,2010,3.91,125363,2594,8966,31455,44446,45823,76,https://images.gr-assets.com/books/1292482391m/6654313.jpg,https://images.gr-assets.com/books/1292482391s/6654313.jpg
958,The Complete Anne of Green Gables Boxed Set,L.M. Montgomery,Ficción,1908,4.42,92142,1395,1991,9286,23394,57001,40,https://images.gr-assets.com/books/1267721500m/3579.jpg,https://images.gr-assets.com/books/1267721500s/3579.jpg
970,Steelheart,Brandon Sanderson,No Ficción,2013,4.16,76261,1300,3063,15596,40585,41572,64,https://images.gr-assets.com/books/1357576738m/17182126.jpg,https://images.gr-assets.com/books/1357576738s/17182126.jpg
981,Blue Bloods,Melissa de la Cruz,Fantasía,2006,3.68,116687,6024,12543,31927,34222,36273,47,https://images.gr-assets.com/books/1322281515m/872333.jpg,https://images.gr-assets.com/books/1322281515s/872333.jpg
987, A Monster Calls ,"Patrick Ness, Jim Kay, Siobhan Dowd",Ciencia Ficción,2011,4.36,104579,1622,3307,14260,39473,73931,138,https://images.gr-assets.com/books/1485991317m/8621462.jpg,https://images.gr-assets.com/books/1485991317s/8621462.jpg
992,The Twilight Saga,"Stephenie Meyer, Ilyana Kadushin, Matt Walters",Ficción,2005,3.88,89204,7478,7649,16077,23209,42398,36,https://images.gr-assets.com/books/1327930511m/3090465.jpg,https://images.gr-assets.com/books/1327930511s/3090465.jpg
993,Tell the Wolves I'm Home,Carol Rifka Brunt,No Ficción,2012,4.04,85582,1702,4342,17472,38357,34673,49,https://images.gr-assets.com/books/1335450415m/12875258.jpg,https://images.gr-assets.com/books/1335450415s/12875258.jpg
995,The Unbecoming of Mara Dyer,Michelle Hodkin,Fantasía,2011,4.09,83847,3673,7214,20598,39430,57717,42,https://images.gr-assets.com/books/1336655755m/11408650.jpg,https://images.gr-assets.com/books/1336655755s/11408650.jpg
1000,Shadow and Bone,Leigh Bardugo,Ciencia Ficción,2012,4.05,135225,2619,6318,27165,57759,55586,66,https://images.gr-assets.com/books/1339533695m/10194157.jpg,https://images.gr-assets.com/books/1339533695s/10194157.jpg
1002,Champion,Marie Lu,Ficción,2013,4.37,114623,1056,2778,13981,37322,68152,57,https://images.gr-assets.com/books/1382652310m/14290364.jpg,https://images.gr-assets.com/books/1382652310s/14290364.jpg
1004,Lola and the Boy Next Door,Stephanie Perkins,No Ficción,2011,4.0,108370,2731,6370,24753,44016,46059,22,https://images.gr-assets.com/books/1358271832m/9961796.jpg,https://images.gr-assets.com/books/1358271832s/9961796.jpg
1008,The Power of Six,Pittacus Lore,Fantasía,2011,4.17,97938,941,3336,17700,38652,45094,71,https://images.gr-assets.com/books/1345067406m/8659601.jpg,https://images.gr-assets.com/books/1345067406s/8659601.jpg
1032,Fablehaven,Brandon Mull,Ciencia Ficción,2006,4.08,99390,2189,5069,19001,34070,43856,51,https://images.gr-assets.com/books/1460309528m/44652.jpg,https://images.gr-assets.com/books/1460309528s/44652.jpg
1038,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,Ficción,1976,3.79,92980,3319,8006,24135,31712,29649,78,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1045,Four: A Divergent Collection,Veronica Roth,No Ficción,2014,4.1,97058,1199,4985,22456,40265,47338,83,https://images.gr-assets.com/books/1393687572m/18126198.jpg,https://images.gr-assets.com/books/1393687572s/18126198.jpg
1050,The Knife of Never Letting Go,Patrick Ness,Fantasía,2008,3.96,99638,4617,7140,20162,37282,43698,83,https://images.gr-assets.com/books/1277071696m/2118745.jpg,https://images.gr-assets.com/books/1277071696s/2118745.jpg
1054,Reached,Ally Condie,Ciencia Ficción,2012,3.56,109290,4478,13979,36753,36346,26303,51,https://images.gr-assets.com/books/1330717582m/13125947.jpg,https://images.gr-assets.com/books/1330717582s/13125947.jpg
1059,Among the Hidden ,Margaret Peterson Haddix,Ficción,1998,3.97,94478,1658,5363,21990,33488,34452,29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
